Município;Taxa_de_desemprego_16a_e+;População_desocupada_16a_e+;População_econom_ativa_16a_e+
411880 PEABIRU;5,65;368;6512
411885 PEROBAL;4,57;131;2865
411890 PEROLA;2,24;131;5847
411900 PEROLA D'OESTE;0,9;35;3892
411910 PIEN;3,36;206;6123
411915 PINHAIS;4,21;2541;60373
411920 PINHALAO;3,05;98;3215
411925 PINHAL DE SAO BENTO;1,73;25;1441
411930 PINHAO;3,96;596;15037
411940 PIRAI DO SUL;6,75;649;9616
411950 PIRAQUARA;6,07;2584;42605
411960 PITANGA;3,89;676;17377
411965 PITANGUEIRAS;2,55;39;1528
411970 PLANALTINA DO PARANA;4,17;87;2084
411980 PLANALTO;1,15;93;8087
411990 PONTA GROSSA;6,54;9629;147225
411995 PONTAL DO PARANA;5,61;557;9926
412000 PORECATU;5,91;423;7156
412010 PORTO AMAZONAS;5,45;127;2329
412015 PORTO BARREIRO;2,34;52;2223
412020 PORTO RICO;5,19;67;1290
412030 PORTO VITORIA;2,55;51;1999
412033 PRADO FERREIRA;4,71;81;1718
412035 PRANCHITA;3,07;98;3189
412040 PRESIDENTE CASTELO BRANCO;3,24;76;2349
412050 PRIMEIRO DE MAIO;3,82;191;5003
412060 PRUDENTOPOLIS;2,99;817;27351
412065 QUARTO CENTENARIO;5,55;128;2305
412070 QUATIGUA;3,59;126;3510
412080 QUATRO BARRAS;5,17;535;10358
412085 QUATRO PONTES;1,33;29;2179
412090 QUEDAS DO IGUACU;4,95;751;15176
412100 QUERENCIA DO NORTE;5,38;327;6078
412110 QUINTA DO SOL;3,91;103;2637
412120 QUITANDINHA;4,59;355;7739
412125 RAMILANDIA;4,14;75;1810
412130 RANCHO ALEGRE;7,2;138;1917
412135 RANCHO ALEGRE D'OESTE;2,97;39;1315
412140 REALEZA;3,07;283;9207
412150 REBOUCAS;6,09;405;6646
412160 RENASCENCA;3,34;128;3835
412170 RESERVA;4,4;487;11066
412175 RESERVA DO IGUACU;8,29;258;3114
412180 RIBEIRAO CLARO;5,06;249;4925
412190 RIBEIRAO DO PINHAL;5,17;334;6463
412200 RIO AZUL;2,95;230;7790
412210 RIO BOM;-;-;1481
412215 RIO BONITO DO IGUACU;2,89;212;7339
412217 RIO BRANCO DO IVAI;3,6;63;1752
412220 RIO BRANCO DO SUL;2,29;319;13924
412230 RIO NEGRO;5,25;825;15727
412240 ROLANDIA;4,84;1545;31942
412250 RONCADOR;4,06;235;5784
412260 RONDON;1,93;96;4976
412265 ROSARIO DO IVAI;5,05;130;2575
412270 SABAUDIA;4,75;162;3412
412280 SALGADO FILHO;2,67;65;2438
412290 SALTO DO ITARARE;2,26;61;2697
412300 SALTO DO LONTRA;1,98;147;7420
412310 SANTA AMELIA;9,09;168;1849
412320 SANTA CECILIA DO PAVAO;8,37;149;1780
412330 SANTA CRUZ DE MONTE CASTELO;3,13;142;4538
412340 SANTA FE;4,1;239;5828
412350 SANTA HELENA;4,06;537;13221
412360 SANTA INES;7,7;67;870
412370 SANTA ISABEL DO IVAI;4,56;205;4497
412380 SANTA IZABEL DO OESTE;3,8;233;6129
412382 SANTA LUCIA;2,63;54;2057
412385 SANTA MARIA DO OESTE;2,63;139;5293
412390 SANTA MARIANA;7,26;431;5933
412395 SANTA MONICA;2,64;48;1820
412400 SANTANA DO ITARARE;6,8;150;2205
412402 SANTA TEREZA DO OESTE;2,27;114;5011
412405 SANTA TEREZINHA DE ITAIPU;5,62;597;10625
412410 SANTO ANTONIO DA PLATINA;7,1;1546;21773
412420 SANTO ANTONIO DO CAIUA;2,87;34;1184
412430 SANTO ANTONIO DO PARAISO;4,64;50;1077
412440 SANTO ANTONIO DO SUDOESTE;3,24;298;9192
412450 SANTO INACIO;6,6;180;2729
412460 SAO CARLOS DO IVAI;2,92;92;3156
412470 SAO JERONIMO DA SERRA;5,32;250;4703
412480 SAO JOAO;3,07;168;5465
412490 SAO JOAO DO CAIUA;6,42;170;2647
412500 SAO JOAO DO IVAI;5;279;5576
412510 SAO JOAO DO TRIUNFO;2,9;195;6720
412520 SAO JORGE D'OESTE;4,03;207;5134
412530 SAO JORGE DO IVAI;4,91;142;2890
412535 SAO JORGE DO PATROCINIO;2,48;88;3542
412540 SAO JOSE DA BOA VISTA;3,98;128;3220
412545 SAO JOSE DAS PALMEIRAS;5;94;1879
412550 SAO JOSE DOS PINHAIS;4,54;6534;143803
412555 SAO MANOEL DO PARANA;2,11;24;1140
412560 SAO MATEUS DO SUL;4,29;895;20878
412570 SAO MIGUEL DO IGUACU;4,02;526;13074
412575 SAO PEDRO DO IGUACU;4,21;139;3300
412580 SAO PEDRO DO IVAI;3,25;178;5477
412590 SAO PEDRO DO PARANA;3,33;40;1203
412600 SAO SEBASTIAO DA AMOREIRA;6,12;253;4134
412610 SAO TOME;3,1;87;2803
412620 SAPOPEMA;3,3;112;3390
412625 SARANDI;4,38;1842;42081
412627 SAUDADE DO IGUACU;4,67;124;2653
412630 SENGES;7,96;610;7665
412635 SERRANOPOLIS DO IGUACU;1,61;47;2922
412640 SERTANEJA;6,44;185;2871
412650 SERTANOPOLIS;4,29;352;8203
412660 SIQUEIRA CAMPOS;4,03;375;9303
412665 SULINA;4,18;67;1601
412667 TAMARANA;3,24;179;5530
412670 TAMBOARA;2,89;68;2352
412680 TAPEJARA;4,42;307;6950
412690 TAPIRA;4,87;155;3184
412700 TEIXEIRA SOARES;6,91;341;4938
412710 TELEMACO BORBA;8,73;2779;31838
412720 TERRA BOA;3,4;294;8648
412730 TERRA RICA;3,07;232;7548
412740 TERRA ROXA;3,09;290;9385
412750 TIBAGI;5,33;430;8067
412760 TIJUCAS DO SUL;3,92;284;7244
412770 TOLEDO;4,4;3023;68666
412780 TOMAZINA;1,25;55;4398
412785 TRES BARRAS DO PARANA;2,93;183;6241
412788 TUNAS DO PARANA;5,08;127;2501
412790 TUNEIRAS DO OESTE;4,7;191;4061
412795 TUPASSI;2,68;116;4326
412796 TURVO;4,19;274;6532
412800 UBIRATA;3,84;399;10378
412810 UMUARAMA;5,62;3086;54944
412820 UNIAO DA VITORIA;7,79;2010;25793
412830 UNIFLOR;3,98;53;1330
412840 URAI;5,98;346;5788
412850 WENCESLAU BRAZ;6,95;632;9088
412853 VENTANIA;7,45;324;4349
412855 VERA CRUZ DO OESTE;5,23;215;4108
412860 VERE;2,12;93;4383
412862 ALTO PARAISO;3,88;44;1135
412863 DOUTOR ULYSSES;1,76;41;2329
412865 VIRMOND;2,54;55;2165
412870 VITORINO;2,84;94;3307
412880 XAMBRE;3,28;93;2833
420005 ABDON BATISTA;1,63;18;1101
420010 ABELARDO LUZ;2,81;239;8503
420020 AGROLANDIA;2,11;118;5603
420030 AGRONOMICA;1,5;44;2925
420040 AGUA DOCE;2,33;86;3690
420050 AGUAS DE CHAPECO;2,87;93;3240
420055 AGUAS FRIAS;3,17;44;1388
420060 AGUAS MORNAS;1,14;41;3590
420070 ALFREDO WAGNER;1,88;94;5009
420075 ALTO BELA VISTA;2,19;27;1231
420080 ANCHIETA;2,86;107;3745
420090 ANGELINA;0,72;21;2909
420100 ANITA GARIBALDI;1,85;83;4494
420110 ANITAPOLIS;0,32;6;1891
420120 ANTONIO CARLOS;0,82;34;4168
420125 APIUNA;1,17;69;5921
420127 ARABUTA;1,93;55;2843
420130 ARAQUARI;4,68;581;12422
420140 ARARANGUA;3,98;1350;33878
420150 ARMAZEM;1,18;54;4562
420160 ARROIO TRINTA;2,25;48;2138
420165 ARVOREDO;0,8;12;1494
420170 ASCURRA;0,97;41;4239
420180 ATALANTA;0,1;2;1997
420190 AURORA;0,72;24;3351
420195 BALNEARIO ARROIO DO SILVA;6,77;301;4443
420200 BALNEARIO CAMBORIU;4,57;2883;63035
420205 BALNEARIO BARRA DO SUL;4,48;155;3458
420207 BALNEARIO GAIVOTA;5,27;207;3926
420208 BANDEIRANTE;0,83;13;1561
420209 BARRA BONITA;-;-;1097
420210 BARRA VELHA;4,81;510;10612
420213 BELA VISTA DO TOLDO;1,73;50;2895
420215 BELMONTE;2,22;35;1574
420220 BENEDITO NOVO;1,32;78;5900
420230 BIGUACU;3,39;1026;30306
420240 BLUMENAU;2,44;4455;182819
420243 BOCAINA DO SUL;2,35;36;1535
420245 BOMBINHAS;5,23;396;7568
420250 BOM JARDIM DA SERRA;4,59;93;2027
420253 BOM JESUS;2,13;27;1269
420257 BOM JESUS DO OESTE;1,27;18;1413
420260 BOM RETIRO;3,15;149;4726
420270 BOTUVERA;1,49;42;2815
420280 BRACO DO NORTE;2,25;382;16970
420285 BRACO DO TROMBUDO;1,26;27;2147
420287 BRUNOPOLIS;3,42;50;1464
420290 BRUSQUE;1,76;1117;63288
420300 CACADOR;5,14;1813;35293
420310 CAIBI;1,03;39;3797
420315 CALMON;2,38;35;1468
420320 CAMBORIU;3,77;1256;33350
420325 CAPAO ALTO;4,62;66;1428
420330 CAMPO ALEGRE;3,88;244;6292
420340 CAMPO BELO DO SUL;2,73;103;3774
420350 CAMPO ERE;4,51;221;4898
420360 CAMPOS NOVOS;3,89;645;16566
420370 CANELINHA;1,09;52;4757
420380 CANOINHAS;5,09;1292;25375
420390 CAPINZAL;3,97;453;11405
420395 CAPIVARI DE BAIXO;3,82;421;11020
420400 CATANDUVAS;4,09;197;4822
420410 CAXAMBU DO SUL;1,74;48;2764
420415 CELSO RAMOS;0,15;2;1342
420417 CERRO NEGRO;3,33;61;1831
420419 CHAPADAO DO LAGEADO;-;-;1608
420420 CHAPECO;4,09;4359;106636
420425 COCAL DO SUL;4,64;387;8348
420430 CONCORDIA;2,58;1058;41066
420435 CORDILHEIRA ALTA;3,55;81;2279
420440 CORONEL FREITAS;1,83;110;6009
420445 CORONEL MARTINS;1,73;20;1159
420450 CORUPA;2,31;176;7634
420455 CORREIA PINTO;8,47;562;6633
420460 CRICIUMA;4,4;4651;105734
420470 CUNHA PORA;2,21;152;6872
420475 CUNHATAI;0,16;2;1269
420480 CURITIBANOS;5,07;880;17345
420490 DESCANSO;2,47;140;5657
420500 DIONISIO CERQUEIRA;3,6;245;6802
420510 DONA EMMA;0,85;20;2351
420515 DOUTOR PEDRINHO;0,47;9;1918
420517 ENTRE RIOS;0,36;5;1405
420519 ERMO;3,65;42;1150
420520 ERVAL VELHO;3,46;76;2197
420530 FAXINAL DOS GUEDES;2,26;127;5615
420535 FLOR DO SERTAO;0,49;5;1025
420540 FLORIANOPOLIS;4,81;11420;237460
420543 FORMOSA DO SUL;0,23;3;1330
420545 FORQUILHINHA;3,55;461;13001
420550 FRAIBURGO;6,3;1040;16505
420555 FREI ROGERIO;0,87;10;1146
420560 GALVAO;3,06;54;1764
420570 GAROPABA;5,44;506;9298
420580 GARUVA;2,56;195;7631
420590 GASPAR;1,74;580;33261
420600 GOVERNADOR CELSO RAMOS;4,42;306;6923
420610 GRAO PARA;2,09;83;3979
420620 GRAVATAL;2,29;129;5624
420630 GUABIRUBA;1,74;179;10270
420640 GUARACIABA;1,68;115;6856
420650 GUARAMIRIM;5,35;978;18293
420660 GUARUJA DO SUL;4,25;119;2803
420665 GUATAMBU;2,22;54;2437
420670 HERVAL D'OESTE;3,1;348;11231
420675 IBIAM;1,19;13;1093
420680 IBICARE;3,24;59;1819
420690 IBIRAMA;1,54;158;10275
420700 ICARA;3,8;1177;30960
420710 ILHOTA;1,53;101;6598
420720 IMARUI;3,81;173;4543
420730 IMBITUBA;5,3;1008;19019
420740 IMBUIA;0,68;21;3109
420750 INDAIAL;2,15;726;33727
420757 IOMERE;-;-;1592
420760 IPIRA;0,42;12;2846
420765 IPORA DO OESTE;1,31;69;5265
420768 IPUACU;1,51;40;2641
420770 IPUMIRIM;0,98;43;4408
420775 IRACEMINHA;1,12;30;2688
420780 IRANI;4,35;230;5286
420785 IRATI;0,58;6;1027
420790 IRINEOPOLIS;1,8;99;5487
420800 ITA;1,5;57;3793
420810 ITAIOPOLIS;2,68;292;10892
420820 ITAJAI;4,56;4647;101823
420830 ITAPEMA;5,35;1291;24110
420840 ITAPIRANGA;1,82;166;9145
420845 ITAPOA;5,21;382;7333
420850 ITUPORANGA;1,16;154;13258
420860 JABORA;1,64;39;2377
420870 JACINTO MACHADO;2,96;176;5941
420880 JAGUARUNA;2,58;232;8997
420890 JARAGUA DO SUL;2,68;2337;87218
420895 JARDINOPOLIS;2,58;27;1047
420900 JOACABA;5,01;812;16212
420910 JOINVILLE;4,57;13118;287329
420915 JOSE BOITEUX;1,94;48;2468
420917 JUPIA;2,14;23;1073
420920 LACERDOPOLIS;1,68;22;1307
420930 LAGES;6,53;4996;76534
420940 LAGUNA;5,87;1420;24187
420945 LAJEADO GRANDE;0,39;3;779
420950 LAURENTINO;1,07;39;3652
420960 LAURO MULLER;4,71;319;6769
420970 LEBON REGIS;4,04;213;5275
420980 LEOBERTO LEAL;5,07;92;1813
420985 LINDOIA DO SUL;0,4;11;2751
420990 LONTRAS;1,17;70;5983
421000 LUIZ ALVES;1,94;119;6134
421003 LUZERNA;1,72;55;3194
421005 MACIEIRA;2,36;22;932
421010 MAFRA;4,34;1242;28648
421020 MAJOR GERCINO;0,6;11;1843
421030 MAJOR VIEIRA;1,16;40;3446
421040 MARACAJA;4,82;169;3506
421050 MARAVILHA;2,71;352;12999
421055 MAREMA;0,32;4;1258
421060 MASSARANDUBA;1,69;154;9114
421070 MATOS COSTA;4,28;59;1380
421080 MELEIRO;1,74;70;4026
421085 MIRIM DOCE;0,6;8;1340
421090 MODELO;1,16;29;2502
421100 MONDAI;1,7;111;6537
421105 MONTE CARLO;9,39;376;4006
421110 MONTE CASTELO;3,86;149;3864
421120 MORRO DA FUMACA;2,79;245;8769
421125 MORRO GRANDE;1,11;19;1716
421130 NAVEGANTES;5,67;1693;29861
421140 NOVA ERECHIM;1,12;30;2681
421145 NOVA ITABERABA;1,27;29;2292
421150 NOVA TRENTO;0,72;53;7329
421160 NOVA VENEZA;2,5;179;7169
421165 NOVO HORIZONTE;0,6;11;1836
421170 ORLEANS;2,76;319;11561
421175 OTACILIO COSTA;5,27;418;7939
421180 OURO;2,4;108;4494
421185 OURO VERDE;1,3;11;849
421187 PAIAL;0,19;2;1041
421189 PAINEL;2,47;29;1175
421190 PALHOCA;3,7;2824;76242
421200 PALMA SOLA;3,22;141;4379
421205 PALMEIRA;5,62;68;1209
421210 PALMITOS;2,12;201;9466
421220 PAPANDUVA;3,07;308;10017
421223 PARAISO;1,94;46;2368
421225 PASSO DE TORRES;7,72;257;3331
421227 PASSOS MAIA;0,65;15;2302
421230 PAULO LOPES;5,01;151;3014
421240 PEDRAS GRANDES;1,02;23;2246
421250 PENHA;3,96;495;12505
421260 PERITIBA;1,02;20;1962
421270 PETROLANDIA;1,01;38;3779
421280 BALNEARIO PICARRAS;4,69;403;8597
421290 PINHALZINHO;2,78;279;10032
421300 PINHEIRO PRETO;1,6;33;2059
421310 PIRATUBA;1,72;48;2787
421315 PLANALTO ALEGRE;0,75;12;1592
421320 POMERODE;1,72;292;16966
421330 PONTE ALTA;6,97;145;2080
421335 PONTE ALTA DO NORTE;5,96;86;1443
421340 PONTE SERRADA;4,19;226;5389
421350 PORTO BELO;3,74;314;8387
421360 PORTO UNIAO;6,73;1159;17231
421370 POUSO REDONDO;2,28;191;8372
421380 PRAIA GRANDE;3,47;134;3862
421390 PRESIDENTE CASTELLO BRANCO;0,94;11;1171
421400 PRESIDENTE GETULIO;0,63;57;9107
421410 PRESIDENTE NEREU;2;28;1403
421415 PRINCESA;3,25;53;1631
421420 QUILOMBO;1,88;113;5999
421430 RANCHO QUEIMADO;0,55;9;1646
421440 RIO DAS ANTAS;1,65;56;3394
421450 RIO DO CAMPO;1,2;45;3743
421460 RIO DO OESTE;0,87;35;4030
421470 RIO DOS CEDROS;1,11;67;6009
421480 RIO DO SUL;2,36;832;35248
421490 RIO FORTUNA;0,84;26;3092
421500 RIO NEGRINHO;6,45;1329;20591
421505 RIO RUFINO;1,79;22;1231
421507 RIQUEZA;1,01;29;2858
421510 RODEIO;0,84;53;6298
421520 ROMELANDIA;1,4;44;3147
421530 SALETE;2,13;94;4413
421535 SALTINHO;0,34;7;2072
421540 SALTO VELOSO;2,68;63;2348
421545 SANGAO;1,72;97;5627
421550 SANTA CECILIA;7,11;497;6992
421555 SANTA HELENA;0,6;10;1672
421560 SANTA ROSA DE LIMA;0,42;6;1427
421565 SANTA ROSA DO SUL;1,54;71;4600
421567 SANTA TEREZINHA;0,1;4;4163
421568 SANTA TEREZINHA DO PROGRESSO;0,81;13;1614
421569 SANTIAGO DO SUL;0,76;6;791
421570 SANTO AMARO DA IMPERATRIZ;2,79;316;11309
421575 SAO BERNARDINO;-;-;1428
421580 SAO BENTO DO SUL;4,22;1741;41297
421590 SAO BONIFACIO;0,25;5;1977
421600 SAO CARLOS;1,79;114;6379
421605 SAO CRISTOVAO DO SUL;7,55;150;1986
421610 SAO DOMINGOS;2,84;149;5239
421620 SAO FRANCISCO DO SUL;7,88;1581;20056
421625 SAO JOAO DO OESTE;0,93;39;4193
421630 SAO JOAO BATISTA;1,88;294;15639
421635 SAO JOAO DO ITAPERIU;1,6;29;1816
421640 SAO JOAO DO SUL;2,47;97;3925
421650 SAO JOAQUIM;3,91;490;12541
421660 SAO JOSE;4,03;4883;121098
421670 SAO JOSE DO CEDRO;2,21;178;8037
421680 SAO JOSE DO CERRITO;1,6;69;4323
421690 SAO LOURENCO DO OESTE;1,8;234;12968
421700 SAO LUDGERO;2,64;174;6596
421710 SAO MARTINHO;0,46;10;2165
421715 SAO MIGUEL DA BOA VISTA;0,88;11;1249
421720 SAO MIGUEL DO OESTE;4,08;907;22209
421725 SAO PEDRO DE ALCANTARA;0,81;15;1859
421730 SAUDADES;0,99;58;5888
421740 SCHROEDER;1,88;174;9250
421750 SEARA;1,48;160;10814
421755 SERRA ALTA;0,97;20;2058
421760 SIDEROPOLIS;4,47;321;7174
421770 SOMBRIO;2,62;390;14904
421775 SUL BRASIL;0,6;10;1676
421780 TAIO;1,62;167;10318
421790 TANGARA;2,51;129;5131
421795 TIGRINHOS;1,53;16;1046
421800 TIJUCAS;3,08;486;15774
421810 TIMBE DO SUL;3,46;99;2865
421820 TIMBO;2,34;523;22365
421825 TIMBO GRANDE;2,89;93;3223
421830 TRES BARRAS;7,66;606;7916
421835 TREVISO;1,76;30;1707
421840 TREZE DE MAIO;0,3;12;4027
421850 TREZE TILIAS;2,16;80;3699
421860 TROMBUDO CENTRAL;1,79;67;3747
421870 TUBARAO;3,06;1597;52168
421875 TUNAPOLIS;0,92;28;3058
421880 TURVO;3,23;225;6963
421885 UNIAO DO OESTE;2,51;40;1591
421890 URUBICI;1,6;90;5617
421895 URUPEMA;1,37;16;1166
421900 URUSSANGA;2,8;318;11339
421910 VARGEAO;3,66;67;1829
421915 VARGEM;1,73;18;1043
421917 VARGEM BONITA;2,88;67;2327
421920 VIDAL RAMOS;1,48;54;3643
421930 VIDEIRA;2,93;794;27078
421935 VITOR MEIRELES;1,42;40;2820
421940 WITMARSUM;1,33;29;2186
421950 XANXERE;3,23;746;23107
421960 XAVANTINA;0,46;13;2840
421970 XAXIM;2,34;341;14563
421985 ZORTEA;2,36;44;1862
430003 ACEGUA;5,55;119;2143
430005 AGUA SANTA;1,64;38;2315
430010 AGUDO;2,68;268;10017
430020 AJURICABA;2,82;125;4437
430030 ALECRIM;0,71;27;3798
430040 ALEGRETE;7,46;2778;37247
430045 ALEGRIA;0,86;22;2562
430047 ALMIRANTE TAMANDARE DO SUL;1,14;14;1229
430050 ALPESTRE;0,27;14;5212
430055 ALTO ALEGRE;1,32;15;1138
430057 ALTO FELIZ;1,04;22;2113
430060 ALVORADA;7,52;7311;97229
430063 AMARAL FERRADOR;0,65;22;3392
430064 AMETISTA DO SUL;3,58;146;4075
430066 ANDRE DA ROCHA;0,88;6;679
430070 ANTA GORDA;0,65;26;3980
430080 ANTONIO PRADO;2,18;182;8366
430085 ARAMBARE;6,05;91;1503
430087 ARARICA;2,72;72;2649
430090 ARATIBA;1,33;54;4048
430100 ARROIO DO MEIO;2,28;280;12265
430105 ARROIO DO SAL;7,26;279;3842
430107 ARROIO DO PADRE;1,3;20;1536
430110 ARROIO DOS RATOS;7,55;483;6394
430120 ARROIO DO TIGRE;1,3;108;8298
430130 ARROIO GRANDE;7,91;625;7904
430140 ARVOREZINHA;1,56;90;5779
430150 AUGUSTO PESTANA;1,69;72;4251
430155 AUREA;1,19;23;1927
430160 BAGE;8,37;4534;54157
430163 BALNEARIO PINHAL;8,34;351;4207
430165 BARAO;1,2;47;3921
430170 BARAO DE COTEGIPE;1,69;68;4030
430175 BARAO DO TRIUNFO;1,67;58;3472
430180 BARRACAO;2,63;65;2476
430185 BARRA DO GUARITA;3,84;67;1746
430187 BARRA DO QUARAI;9,33;144;1544
430190 BARRA DO RIBEIRO;7,02;401;5712
430192 BARRA DO RIO AZUL;0,52;7;1342
430195 BARRA FUNDA;1,15;17;1482
430200 BARROS CASSAL;0,88;53;6016
430205 BENJAMIN CONSTANT DO SUL;0,73;8;1097
430210 BENTO GONCALVES;2,76;1796;64969
430215 BOA VISTA DAS MISSOES;3,96;41;1036
430220 BOA VISTA DO BURICA;0,87;35;4028
430222 BOA VISTA DO CADEADO;-;-;1278
430223 BOA VISTA DO INCRA;1,64;21;1277
430225 BOA VISTA DO SUL;0,52;9;1720
430230 BOM JESUS;3,64;188;5158
430235 BOM PRINCIPIO;1,53;113;7401
430237 BOM PROGRESSO;3,99;39;977
430240 BOM RETIRO DO SUL;2,21;148;6700
430245 BOQUEIRAO DO LEAO;0,38;18;4742
430250 BOSSOROCA;5,76;199;3454
430258 BOZANO;0,45;7;1573
430260 BRAGA;2,38;43;1804
430265 BROCHIER;0,67;20;2994
430270 BUTIA;13,83;1189;8595
430280 CACAPAVA DO SUL;6,08;981;16125
430290 CACEQUI;9,24;524;5671
430300 CACHOEIRA DO SUL;7,42;3066;41316
430310 CACHOEIRINHA;6,57;4099;62373
430320 CACIQUE DOBLE;0,63;15;2391
430330 CAIBATE;4,37;106;2425
430340 CAICARA;0,34;11;3261
430350 CAMAQUA;4,88;1488;30483
430355 CAMARGO;1,77;26;1473
430360 CAMBARA DO SUL;3,06;99;3231
430367 CAMPESTRE DA SERRA;1,74;33;1902
430370 CAMPINA DAS MISSOES;1,18;45;3822
430380 CAMPINAS DO SUL;3,2;102;3192
430390 CAMPO BOM;3,19;1113;34877
430400 CAMPO NOVO;3,26;78;2390
430410 CAMPOS BORGES;4,62;90;1950
430420 CANDELARIA;2,23;389;17445
430430 CANDIDO GODOI;1,33;57;4275
430435 CANDIOTA;5,89;246;4179
430440 CANELA;4,24;865;20411
430450 CANGUCU;3,21;968;30161
430460 CANOAS;6,29;10468;166350
430461 CANUDOS DO VALE;0,64;8;1249
430462 CAPAO BONITO DO SUL;1,19;8;673
430463 CAPAO DA CANOA;6,22;1322;21237
430465 CAPAO DO CIPO;1,81;27;1492
430466 CAPAO DO LEAO;8,21;868;10570
430467 CAPIVARI DO SUL;3,46;68;1965
430468 CAPELA DE SANTANA;4,9;293;5980
430469 CAPITAO;0,23;4;1758
430470 CARAZINHO;6,66;1979;29737
430471 CARAA;0,87;31;3575
430480 CARLOS BARBOSA;2,14;367;17180
430485 CARLOS GOMES;0,74;8;1077
430490 CASCA;0,8;45;5638
430495 CASEIROS;0,66;10;1504
430500 CATUIPE;3,97;204;5141
430510 CAXIAS DO SUL;3,86;9753;252597
430511 CENTENARIO;1,02;19;1867
430512 CERRITO;4,41;134;3040
430513 CERRO BRANCO;1,09;29;2665
430515 CERRO GRANDE;0,82;12;1459
430517 CERRO GRANDE DO SUL;1;55;5493
430520 CERRO LARGO;3,95;301;7613
430530 CHAPADA;1,73;104;6004
430535 CHARQUEADAS;7,27;1066;14672
430537 CHARRUA;0,88;17;1931
430540 CHIAPETTA;2,9;56;1933
430543 CHUI;4,34;128;2946
430544 CHUVISCA;0,47;14;2954
430545 CIDREIRA;6,64;352;5304
430550 CIRIACO;2,54;78;3076
430558 COLINAS;1,22;19;1561
430560 COLORADO;4,7;98;2086
430570 CONDOR;3,53;127;3602
430580 CONSTANTINA;3,99;222;5567
430583 COQUEIRO BAIXO;-;-;801
430585 COQUEIROS DO SUL;1,1;18;1641
430587 CORONEL BARROS;1,73;28;1615
430590 CORONEL BICACO;6,4;233;3638
430593 CORONEL PILAR;0,45;6;1348
430595 COTIPORA;0,51;14;2760
430597 COXILHA;1,35;17;1259
430600 CRISSIUMAL;1,46;125;8558
430605 CRISTAL;5;176;3521
430607 CRISTAL DO SUL;1,55;28;1804
430610 CRUZ ALTA;5,07;1600;31570
430613 CRUZALTENSE;1,64;21;1279
430620 CRUZEIRO DO SUL;2,3;178;7740
430630 DAVID CANABARRO;0,87;23;2655
430632 DERRUBADAS;0,5;8;1610
430635 DEZESSEIS DE NOVEMBRO;2,33;36;1546
430637 DILERMANDO DE AGUIAR;2,48;33;1333
430640 DOIS IRMAOS;1,76;314;17853
430642 DOIS IRMAOS DAS MISSOES;0,64;6;941
430645 DOIS LAJEADOS;0,91;21;2308
430650 DOM FELICIANO;1,15;82;7159
430655 DOM PEDRO DE ALCANTARA;1,79;25;1399
430660 DOM PEDRITO;5,13;934;18213
430670 DONA FRANCISCA;2,53;48;1898
430673 DOUTOR MAURICIO CARDOSO;2,76;86;3111
430675 DOUTOR RICARDO;0,57;8;1406
430676 ELDORADO DO SUL;5,99;1091;18204
430680 ENCANTADO;3,73;475;12738
430690 ENCRUZILHADA DO SUL;4,99;603;12076
430692 ENGENHO VELHO;3,1;26;838
430693 ENTRE-IJUIS;2,05;97;4728
430695 ENTRE RIOS DO SUL;1,65;26;1572
430697 EREBANGO;2,68;39;1455
430700 ERECHIM;2,8;1458;51989
430705 ERNESTINA;3,12;44;1411
430710 HERVAL;6,1;201;3295
430720 ERVAL GRANDE;2,15;64;2970
430730 ERVAL SECO;4,85;197;4065
430740 ESMERALDA;3,26;54;1658
430745 ESPERANCA DO SUL;0,75;15;2005
430750 ESPUMOSO;3,53;303;8573
430755 ESTACAO;4,57;155;3388
430760 ESTANCIA VELHA;3,88;971;25022
430770 ESTEIO;5,95;2439;40963
430780 ESTRELA;2,81;533;18937
430781 ESTRELA VELHA;0,4;8;2012
430783 EUGENIO DE CASTRO;3,33;47;1413
430786 FAGUNDES VARELA;0,51;9;1765
430790 FARROUPILHA;2,97;1165;39187
430800 FAXINAL DO SOTURNO;3,51;135;3851
430805 FAXINALZINHO;3,5;40;1142
430807 FAZENDA VILANOVA;2,75;62;2257
430810 FELIZ;2,05;161;7840
430820 FLORES DA CUNHA;3,16;549;17364
430825 FLORIANO PEIXOTO;0,44;6;1366
430830 FONTOURA XAVIER;2,91;152;5228
430840 FORMIGUEIRO;2,89;96;3325
430843 FORQUETINHA;0,44;8;1799
430845 FORTALEZA DOS VALOS;2,26;52;2304
430850 FREDERICO WESTPHALEN;4,1;675;16468
430860 GARIBALDI;2,38;456;19122
430865 GARRUCHOS;3,55;58;1632
430870 GAURAMA;1,19;41;3452
430880 GENERAL CAMARA;5,11;195;3817
430885 GENTIL;0,56;6;1073
430890 GETULIO VARGAS;3,12;279;8943
430900 GIRUA;3,35;264;7891
430905 GLORINHA;3,88;137;3535
430910 GRAMADO;2,53;490;19400
430912 GRAMADO DOS LOUREIROS;1,92;22;1147
430915 GRAMADO XAVIER;-;-;2165
430920 GRAVATAI;7,13;9121;127928
430925 GUABIJU;2,07;22;1065
430930 GUAIBA;6,92;3318;47929
430940 GUAPORE;0,98;143;14599
430950 GUARANI DAS MISSOES;4,5;205;4551
430955 HARMONIA;1,75;46;2623
430957 HERVEIRAS;0,06;1;1641
430960 HORIZONTINA;3,41;372;10917
430965 HULHA NEGRA;4,89;145;2967
