Município;1991;2000;2010;Total
352240 ITAPEVA;1,77;17,1;6,89;8,77
352250 ITAPEVI;9,56;25,02;10,25;15,3
352260 ITAPIRA;2,1;10,69;5,8;6,41
352265 ITAPIRAPUA PAULISTA;...;17,36;11,75;14,13
352270 ITAPOLIS;1,35;10,62;4,04;5,6
352280 ITAPORANGA;0,73;11,12;5,1;5,97
352290 ITAPUI;1,28;11,18;5,91;6,45
352300 ITAPURA;2,88;29,72;7,97;13,59
352310 ITAQUAQUECETUBA;5,51;25,6;12,05;15,66
352320 ITARARE;3,16;16,36;10,53;10,51
352330 ITARIRI;2,45;13,73;8,88;8,9
352340 ITATIBA;1,88;10,77;4,59;6,01
352350 ITATINGA;6,85;14,51;6,27;9,15
352360 ITIRAPINA;2,28;11,39;6,43;7,06
352370 ITIRAPUA;-;6,75;4,85;4,15
352380 ITOBI;0,86;9,5;5,29;5,62
352390 ITU;4,42;15,11;5,67;8,59
352400 ITUPEVA;4,86;13,04;5,24;7,43
352410 ITUVERAVA;2,06;11,95;5,73;6,88
352420 JABORANDI;0,68;9,14;5,04;4,94
352430 JABOTICABAL;2,93;11,4;7,11;7,49
352440 JACAREI;9,94;20,96;9,52;13,53
352450 JACI;0,45;9,97;4,64;5,45
352460 JACUPIRANGA;7,05;17,45;6,07;9,6
352470 JAGUARIUNA;2,94;15,59;6,65;8,5
352480 JALES;2,18;12,34;5,81;7,01
352490 JAMBEIRO;2,82;17,87;5,3;8,7
352500 JANDIRA;7,72;18,71;7,96;11,58
352510 JARDINOPOLIS;1,76;9,62;4,91;5,8
352520 JARINU;0,64;8,87;6,49;6,3
352530 JAU;1,65;9,27;3,64;5
352540 JERIQUARA;3,39;5,7;6,64;5,35
352550 JOANOPOLIS;4,66;6,42;3,28;4,69
352560 JOAO RAMALHO;0,8;13,02;6,61;7,34
352570 JOSE BONIFACIO;2,03;11;4,28;5,84
352580 JULIO MESQUITA;0,9;11,22;7,66;6,88
352585 JUMIRIM;...;6,7;4,53;5,38
352590 JUNDIAI;5,31;14,74;5,28;8,39
352600 JUNQUEIROPOLIS;1,47;14,37;5,56;6,92
352610 JUQUIA;9,63;15,51;8,29;11,14
352620 JUQUITIBA;6,43;15,96;8,77;10,82
352630 LAGOINHA;2,56;13,65;5,18;7,41
352640 LARANJAL PAULISTA;1,18;8,5;3,7;4,65
352650 LAVINIA;2,54;11,46;9,42;7,93
352660 LAVRINHAS;5,43;15,48;13,91;12,43
352670 LEME;1,42;12,83;5,96;7,12
352680 LENCOIS PAULISTA;3,61;15,92;7,57;9,38
352690 LIMEIRA;3,16;14,57;5,83;8,12
352700 LINDOIA;1,17;7,21;3,97;4,48
352710 LINS;2,62;14,16;7,21;8,36
352720 LORENA;7,56;18,81;11,06;12,72
352725 LOURDES;...;9,74;4,45;6,92
352730 LOUVEIRA;1,33;12,72;4,06;6,21
352740 LUCELIA;1,24;13,07;5,5;6,6
352750 LUCIANOPOLIS;2,24;5,79;1,87;3,2
352760 LUIS ANTONIO;4,85;18,69;12,31;12,83
352770 LUIZIANIA;0,37;8,2;3,58;4,21
352780 LUPERCIO;2,08;7,58;4,77;4,9
352790 LUTECIA;1,42;14,22;7,94;8,43
352800 MACATUBA;2,61;14,75;5,79;7,93
352810 MACAUBAL;0,67;6,64;4,78;4,16
352820 MACEDONIA;2,59;6,7;3,42;4,19
352830 MAGDA;5,19;14,43;6,21;8,77
352840 MAIRINQUE;7,54;18,76;11,25;12,61
352850 MAIRIPORA;2,81;16,37;5,3;8,6
352860 MANDURI;4,43;6,77;4,38;5,15
352870 MARABA PAULISTA;4,42;11,54;7,14;7,64
352880 MARACAI;2,93;13,37;8,25;8,48
352885 MARAPOAMA;...;10,75;3,44;6,52
352890 MARIAPOLIS;2;8,07;3,96;4,57
352900 MARILIA;2,84;13,53;7,41;8,35
352910 MARINOPOLIS;-;5,05;1,33;2,24
352920 MARTINOPOLIS;2,97;13,07;5,94;7,41
352930 MATAO;6,44;19,59;6,95;11,1
352940 MAUA;9,1;23,09;11,68;14,89
352950 MENDONCA;1,95;11,57;4,31;5,73
352960 MERIDIANO;0,66;15,54;8,18;8,44
352965 MESOPOLIS;...;11,66;5,16;8,18
352970 MIGUELOPOLIS;1,17;15,11;9,66;9,31
352980 MINEIROS DO TIETE;1,55;11,34;4,93;6,32
352990 MIRACATU;2,12;10,51;8,98;7,63
353000 MIRA ESTRELA;1,21;9,8;6,78;6,16
353010 MIRANDOPOLIS;2,47;12,76;6,28;7,4
353020 MIRANTE DO PARANAPANEMA;1,42;12,58;7,14;7,41
353030 MIRASSOL;1,59;14,12;7,27;8,17
353040 MIRASSOLANDIA;1,81;20,91;5,08;9,47
353050 MOCOCA;2,75;13,63;6,23;7,83
353060 MOGI DAS CRUZES;8,44;19,62;9,38;12,61
353070 MOGI GUACU;4,36;13,91;7,46;8,83
353080 MOGI MIRIM;2,79;12,66;7,53;8,17
353090 MOMBUCA;1,28;15,75;5,3;8,07
353100 MONCOES;1,03;5,26;9,39;5,63
353110 MONGAGUA;8,01;24,71;10,51;15,33
353120 MONTE ALEGRE DO SUL;1,88;5,43;3,26;3,66
353130 MONTE ALTO;1,12;11,74;5,88;6,55
353140 MONTE APRAZIVEL;2,65;10,53;3,88;5,73
353150 MONTE AZUL PAULISTA;0,6;12,62;7,28;7,28
353160 MONTE CASTELO;2;8,97;4,2;5,05
353170 MONTEIRO LOBATO;1,61;15,49;2,92;6,87
353180 MONTE MOR;4,25;21,02;8,83;12,07
353190 MORRO AGUDO;0,74;14,72;6,28;7,7
353200 MORUNGABA;3,88;9,2;2,59;5,22
353205 MOTUCA;...;10,26;12,43;11,4
353210 MURUTINGA DO SUL;0,65;6,8;4,04;4,04
353215 NANTES;...;2,42;5,04;3,96
353220 NARANDIBA;0,26;13,66;9,58;8,63
353230 NATIVIDADE DA SERRA;7,14;7,08;4,75;6,21
353240 NAZARE PAULISTA;2,38;12,86;6,87;7,8
353250 NEVES PAULISTA;1,95;8,96;3,13;4,88
353260 NHANDEARA;2,34;11,68;3,14;5,76
353270 NIPOA;2,45;6,16;10,96;7,48
353280 NOVA ALIANCA;-;8,25;7,07;5,67
353282 NOVA CAMPINA;...;18,48;8,1;12,54
353284 NOVA CANAA PAULISTA;...;7,88;4,55;6,2
353286 NOVA CASTILHO;...;15,25;3,61;7,91
353290 NOVA EUROPA;3,21;9,61;4,9;6,06
353300 NOVA GRANADA;2,64;12,44;5,52;7,13
353310 NOVA GUATAPORANGA;2,07;15,32;6,99;8,39
353320 NOVA INDEPENDENCIA;-;7,04;4,17;3,9
353325 NOVAIS;...;17,59;8,25;11,39
353330 NOVA LUZITANIA;-;4,91;5,22;3,76
353340 NOVA ODESSA;6,23;15,77;6,34;9,35
353350 NOVO HORIZONTE;1,48;8;3,58;4,48
353360 NUPORANGA;0,87;8,06;5,3;4,99
353370 OCAUCU;2,53;7,6;6,11;5,52
353380 OLEO;2,21;5,39;4,09;4
353390 OLIMPIA;1,22;15,55;5,56;7,77
353400 ONDA VERDE;1,6;21,34;6,57;10,67
353410 ORIENTE;3,58;11,9;8,26;7,84
353420 ORINDIUVA;1,27;8,92;5,76;5,88
353430 ORLANDIA;3,32;12,48;6,43;7,63
353440 OSASCO;7,38;18,42;7,93;11,52
353450 OSCAR BRESSANE;3,06;10,68;9,27;8,14
353460 OSVALDO CRUZ;2,02;11,01;5,9;6,59
353470 OURINHOS;2,63;14,93;7,66;8,89
353475 OUROESTE;...;18,91;6,6;11,55
353480 OURO VERDE;1,05;13,84;8,3;8,09
353490 PACAEMBU;1,97;14,69;6,46;7,97
353500 PALESTINA;1,85;8,47;4,53;5
353510 PALMARES PAULISTA;1,31;11,81;4,04;5,62
353520 PALMEIRA D'OESTE;1,33;5,02;3,02;3,16
353530 PALMITAL;2,36;12,63;5,39;7,05
353540 PANORAMA;0,38;13,08;6,67;7,06
353550 PARAGUACU PAULISTA;2,04;18,79;8,53;10,27
353560 PARAIBUNA;3,03;12,35;5,3;7,18
353570 PARAISO;1,04;12,33;6,48;6,92
353580 PARANAPANEMA;1,03;10,39;4,67;5,63
353590 PARANAPUA;1,45;4,78;3,46;3,05
353600 PARAPUA;2,46;12,83;5,06;6,95
353610 PARDINHO;2,8;5,12;5,9;4,95
353620 PARIQUERA-ACU;3,54;15,01;7,14;9,09
353625 PARISI;...;9,04;3,37;5,82
353630 PATROCINIO PAULISTA;1,34;8,98;8,02;6,67
353640 PAULICEIA;1,17;13,19;7,77;8,02
353650 PAULINIA;2,74;15,82;8,46;9,62
353657 PAULISTANIA;...;3,56;6,38;4,99
353660 PAULO DE FARIA;2,94;12,77;6,26;7,46
353670 PEDERNEIRAS;4,67;14,4;6,69;8,63
353680 PEDRA BELA;0,65;6,15;1,4;2,88
353690 PEDRANOPOLIS;-;11,17;7,48;6,02
353700 PEDREGULHO;1,15;11,42;3,47;5,54
353710 PEDREIRA;2,93;7,71;4,96;5,39
353715 PEDRINHAS PAULISTA;...;11,01;2,84;6,58
353720 PEDRO DE TOLEDO;2,44;11,16;9,85;8,46
353730 PENAPOLIS;2,63;10,52;6,72;6,96
353740 PEREIRA BARRETO;2,25;18,79;9,29;8,48
353750 PEREIRAS;2,39;12,76;3,06;6,18
353760 PERUIBE;3,19;24,17;9,85;13,66
353770 PIACATU;1,08;4,7;5,31;3,82
353780 PIEDADE;2,11;12,21;5,45;6,87
353790 PILAR DO SUL;2,63;13,84;6,48;8,18
353800 PINDAMONHANGABA;9,03;22,08;10,38;13,97
353810 PINDORAMA;2,7;10,59;4,6;5,93
353820 PINHALZINHO;0,48;6,73;3,59;3,94
353830 PIQUEROBI;1,03;12,96;6,52;7,17
353850 PIQUETE;10,84;20,75;14,27;15,59
353860 PIRACAIA;1,92;8,78;6,47;6,11
353870 PIRACICABA;3,07;13,66;6,41;8
353880 PIRAJU;2,45;7,85;6,56;5,78
353890 PIRAJUI;2,22;17,12;6,9;8,87
353900 PIRANGI;0,6;9,14;3,34;4,49
353910 PIRAPORA DO BOM JESUS;4,19;19,71;7,74;11,21
353920 PIRAPOZINHO;2,9;17,77;7,41;9,46
353930 PIRASSUNUNGA;2,38;12,86;5,16;7
353940 PIRATININGA;3,07;10,61;3,76;5,82
353950 PITANGUEIRAS;1,8;18,7;8,35;9,79
353960 PLANALTO;1,27;13,17;4,1;5,75
353970 PLATINA;1,04;6,91;9,66;6,45
353980 POA;8,11;22,35;9,65;13,75
353990 POLONI;1,99;8,58;3,78;4,83
354000 POMPEIA;3,61;13,54;6,84;8,36
354010 PONGAI;3,14;7,75;6,19;5,88
354020 PONTAL;0,41;14,72;6,51;7,73
354025 PONTALINDA;...;18,26;5,15;10,97
354030 PONTES GESTAL;0,74;18,71;4,64;7,66
354040 POPULINA;0,89;8,48;6,41;5,47
354050 PORANGABA;4,24;8,7;5,56;6,15
354060 PORTO FELIZ;4,9;11,49;5,32;7,3
354070 PORTO FERREIRA;2,12;13,6;6,09;7,74
354075 POTIM;...;18,06;5,29;10,56
354080 POTIRENDABA;1,21;7,27;4,11;4,48
354085 PRACINHA;...;9,96;12,02;11,14
354090 PRADOPOLIS;3,09;17,14;6,93;9,19
354100 PRAIA GRANDE;4,92;21,39;10,45;13,21
354105 PRATANIA;...;16,93;5,07;10,48
354110 PRESIDENTE ALVES;3,07;7,41;6,48;5,75
354120 PRESIDENTE BERNARDES;3,28;11,2;5,52;6,58
354130 PRESIDENTE EPITACIO;3,36;17,17;9,66;10,51
354140 PRESIDENTE PRUDENTE;2,97;14,5;6,76;8,42
354150 PRESIDENTE VENCESLAU;2,58;14,04;7,48;8,29
354160 PROMISSAO;1,97;11,39;7,9;7,65
354165 QUADRA;...;9,33;1,68;4,83
354170 QUATA;2,11;13,4;9,35;8,72
354180 QUEIROZ;0,63;9,91;10,75;8,17
354190 QUELUZ;5,14;18,65;11,12;12,21
354200 QUINTANA;1,64;14,04;8,27;8,4
354210 RAFARD;1,99;11,09;3,9;5,73
354220 RANCHARIA;3,47;16,1;6,65;9,05
354230 REDENCAO DA SERRA;5,48;12,94;10,65;9,65
354240 REGENTE FEIJO;1,13;14,34;6,35;7,73
354250 REGINOPOLIS;1,35;10,23;3,6;5,04
354260 REGISTRO;2,94;18,34;8,13;10,16
354270 RESTINGA;0,53;7,72;5,14;4,94
354280 RIBEIRA;1,79;3,47;2,84;2,45
354290 RIBEIRAO BONITO;2,3;13,23;6,76;7,69
354300 RIBEIRAO BRANCO;0,22;8,51;11,58;7,2
354310 RIBEIRAO CORRENTE;0,63;5,49;3,66;3,56
354320 RIBEIRAO DO SUL;0,33;7,53;3,81;4,24
354323 RIBEIRAO DOS INDIOS;...;7;6,68;6,83
354325 RIBEIRAO GRANDE;...;13,48;8,3;10,62
354330 RIBEIRAO PIRES;9,18;21,8;10,08;14,03
354340 RIBEIRAO PRETO;2,81;12,97;4,91;7,01
354350 RIVERSUL;1,41;21,26;3,71;8,27
354360 RIFAINA;1,98;12,82;7,37;8,1
354370 RINCAO;2,41;15,77;5,65;8,2
354380 RINOPOLIS;1,58;7,19;4,08;4,31
354390 RIO CLARO;2,76;12,65;6,43;7,69
354400 RIO DAS PEDRAS;3,58;15,98;9,66;10,2
354410 RIO GRANDE DA SERRA;5,85;25,69;12,59;15,33
354420 RIOLANDIA;2,1;11,23;8,21;7,43
354425 ROSANA;...;19,09;10,5;15,09
354430 ROSEIRA;14,75;17,5;7,07;12,39
354440 RUBIACEA;0,52;9,72;5,39;5,01
354450 RUBINEIA;3,23;7,16;6;5,66
354460 SABINO;2,02;9,65;4,15;5,63
354470 SAGRES;0,49;15,05;6,72;7,53
354480 SALES;0,68;9,27;4,26;5,04
